canonical_key,norm_key,jfjelstul_name,martj42_name,matched_both
Algeria,algeria,Algeria,Algeria,True
Angola,angola,Angola,Angola,True
Argentina,argentina,Argentina,Argentina,True
Australia,australia,Australia,Australia,True
Belgium,belgium,Belgium,Belgium,True
Bosnia and Herzegovina,bosnia and herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,True
Brazil,brazil,Brazil,Brazil,True
Cameroon,cameroon,Cameroon,Cameroon,True
Canada,canada,Canada,Canada,True
Chile,chile,Chile,Chile,True
China,china,China,China,True
Colombia,colombia,Colombia,Colombia,True
Costa Rica,costa rica,Costa Rica,Costa Rica,True
Croatia,croatia,Croatia,Croatia,True
Czech Republic,czech republic,Czech Republic,Czech Republic,True
Denmark,denmark,Denmark,Denmark,True
Ecuador,ecuador,Ecuador,Ecuador,True
Egypt,egypt,Egypt,Egypt,True
England,england,England,England,True
France,france,France,France,True
Germany,germany,Germany,Germany,True
Ghana,ghana,Ghana,Ghana,True
Greece,greece,Greece,Greece,True
Honduras,honduras,Honduras,Honduras,True
Iceland,iceland,Iceland,Iceland,True
Iran,iran,Iran,Iran,True
Italy,italy,Italy,Italy,True
Ivory Coast,ivory coast,Ivory Coast,Ivory Coast,True
Japan,japan,Japan,Japan,True
Mexico,mexico,Mexico,Mexico,True
Morocco,morocco,Morocco,Morocco,True
Netherlands,netherlands,Netherlands,Netherlands,True
New Zealand,new zealand,New Zealand,New Zealand,True
Nigeria,nigeria,Nigeria,Nigeria,True
North Korea,north korea,North Korea,North Korea,True
Panama,panama,Panama,Panama,True
Paraguay,paraguay,Paraguay,Paraguay,True
Peru,peru,Peru,Peru,True
Poland,poland,Poland,Poland,True
Portugal,portugal,Portugal,Portugal,True
Qatar,qatar,Qatar,Qatar,True
Republic of Ireland,republic of ireland,Republic of Ireland,Republic of Ireland,True
Russia,russia,Russia,Russia,True
Saudi Arabia,saudi arabia,Saudi Arabia,Saudi Arabia,True
Senegal,senegal,Senegal,Senegal,True
Serbia,serbia and montenegro,Serbia,Serbia,True
Slovakia,slovakia,Slovakia,Slovakia,True
Slovenia,slovenia,Slovenia,Slovenia,True
South Africa,south africa,South Africa,South Africa,True
South Korea,south korea,South Korea,South Korea,True
Spain,spain,Spain,Spain,True
Sweden,sweden,Sweden,Sweden,True
Switzerland,switzerland,Switzerland,Switzerland,True
Togo,togo,Togo,Togo,True
Trinidad and Tobago,trinidad and tobago,Trinidad and Tobago,Trinidad and Tobago,True
Tunisia,tunisia,Tunisia,Tunisia,True
Turkey,turkey,Turkey,Turkey,True
Ukraine,ukraine,Ukraine,Ukraine,True
United States,united states,United States,United States,True
Uruguay,uruguay,Uruguay,Uruguay,True
Wales,wales,Wales,Wales,True
